_id,synthetic_question,synthetic_answer
25739053,Does the apartment have a pool?,"Yes, the apartment has a pool as one of its amenities."
25739053,Does the apartment have a washer and dryer?,"Yes, the apartment has a washer and dryer available for guest use."
10990260,Are there any accessibility features for people with disabilities?,"No, there are no accessibility features mentioned in the property description or amenities."
10990260,Is there a kitchen available for use?,"Yes, guests have access to the kitchen."
10990260,Is there a kitchen available for use?,"Yes, guests have access to the kitchen."
248537,Does the apartment have step-free access?,"Yes, the apartment has step-free access and wide doorways, making it accessible for wheelchair users and those with limited mobility."
248537,Is there a children's play area in the apartment?,"Yes, the apartment is equipped with children's books and toys."
248537,Does the apartment have a TV?,"Yes, the apartment is equipped with a TV."
30551204,Are there any accessibility features for people with disabilities at this property?,"The property description does not mention any specific accessibility features for people with disabilities, but it does list an elevator and a private entrance, which could be beneficial for those with limited mobility. It's best to contact the host directly to inquire about specific accessibility accommodations."
30551204,Is there a hot tub available for guests to use?,"Yes, a hot tub is listed as one of the amenities provided."
30551204,Does the property have a hot tub?,"Yes, a hot tub is listed as one of the amenities."
29997747,Are there wheelchair accessible rooms available?,"Unfortunately, the listing does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It is best to contact the host directly to inquire about any specific accessibility needs you may have."
29997747,Is there a kitchen in the property?,"No, there is no kitchen in the property and cooking is not allowed inside any room."
29997747,Does the place have a hair dryer?,"Yes, a hair dryer is provided."
27259809,Is the apartment wheelchair accessible?,"No, the apartment is located on the second floor and is only accessible via stairs, with no elevator access."
27259809,Does the apartment have a balcony?,"Yes, the apartment features a private balcony."
27259809,Does the apartment have a washer and dryer?,"Yes, the apartment is equipped with a washer and dryer for your convenience."
11987001,Are there any accessibility features for people with disabilities?,"Unfortunately, the description does not mention any specific accessibility features for people with disabilities. It only mentions that the garden is accessible to all guests."
11987001,What is the parking situation at this property?,There is paid parking off the premises.
11987001,What is the parking situation at this location?,There is paid parking off the premises.
21939239,Does the property have step-free access?,"Yes, the property has step-free access via Fanny Place."
21939239,Does the property have a washer and dryer?,"Yes, the property is equipped with a washer and dryer for guest use."
26779943,Are there any accessibility features for people with disabilities at this property?,"Unfortunately, the property description does not mention any specific accessibility features for people with disabilities. It would be best to contact the host directly to inquire about any accommodations or accessibility options they may have available."
26779943,What amenities are available in the property?,"The property offers a range of amenities including TV, Wi-Fi, a fully equipped kitchen, heating, washer and dryer, first aid kit, fire extinguisher, essential toiletries like shampoo, hangers, hair dryer, iron, and a laptop-friendly workspace."
12183522,Are there any accessibility features for people with disabilities at this property?,"The property does not explicitly mention any accessibility features for people with disabilities, but it does state that there is an elevator and a single-level home, which could be beneficial for those with mobility issues. The host can be contacted for further information on accessibility."
12183522,What type of parking is available?,There is free street parking and paid parking on the premises available at an hourly or daily rate.
12183522,Does the apartment have a kitchen?,"Yes, the apartment has a spacious kitchen with an oven, dishwasher, microwave, Nespresso machine, and other cooking basics."
12857433,Are there any accessibility features for guests with disabilities at this property?,"The property description does not explicitly mention accessibility features for guests with disabilities. However, it does state that the home is fully functioning and the access details mention a key in a coded lockbox, which could be useful for guests with certain accessibility needs. It's recommended to contact the host for specific accessibility inquiries to ensure the property meets your requirements."
12857433,What kind of parking is available at this property?,The property offers free parking on the premises.
12857433,Does the property have a washer and dryer?,"Yes, a washer and dryer are provided as amenities for guests."
27534603,Is the house wheelchair accessible?,"The property details do not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. There is no information provided about the access or transit options, so it is unclear if there are any accommodations for guests with limited mobility. It would be best to contact the host directly to inquire about accessibility and any specific needs you may have."
27534603,Is there a washer and dryer in the house?,"Yes, the house is equipped with a washer and dryer for guest use."
18315277,Does the apartment have wheelchair access?,"The description does not mention wheelchair access, but it is located on the ground floor of a communal block, so there may be no steps to navigate."
18315277,Is there a washer and dryer in the apartment?,"Yes, the apartment has a washer and dryer available for guest use."
18315277,Does the apartment have a washer and dryer?,"Yes, the apartment is equipped with a washer and dryer for guest use."
10486984,Is the apartment accessible by wheelchair?,"Yes, the apartment has step-free access."
10486984,What kind of architecture is the apartment?,"The apartment is an example of turn-of-the-century Levantine architecture, with slim, four-storey bow-fronted homes along narrow streets."
18437734,Is there step-free access to the property?,"Yes, the property offers step-free access."
18437734,Is there a kitchen?,"Yes, there is a kitchen available for guests to use."
18437734,Is there a hair dryer?,"Yes, a hair dryer is provided."
21234040,Are there any accessibility features for people with disabilities in the apartment?,"Unfortunately, the host has not provided any specific accessibility details for this listing. It's best to contact the host directly to inquire about any accessibility accommodations they may offer."
21234040,Is there a kitchen available for use?,"Yes, the property includes a kitchen as an amenity."
21234040,Is there a kitchen available for use?,"Yes, a kitchen is listed as one of the amenities.

Q: Does the property have heating?
A: Yes, heating is provided as an amenity.

Q: Are pets allowed at this property?
A: Yes, the listing mentions that pets are allowed.

Q: Is there a smoke detector installed?
A: Yes, a smoke detector is listed as one of the amenities.

Q: Will I have access to shampoo during my stay?
A: Yes, shampoo is provided as a basic amenity."
815172,Is the house wheelchair accessible?,"The description does not mention any accessibility features for people with disabilities, such as wheelchair ramps or elevators. It is located in the basement floor, which may not be easily accessible for those with limited mobility."
815172,Is there a washer and dryer in the unit?,"Yes, the amenities list includes a washer and dryer."
815172,Is there a television in the house?,"Yes, there is a TV and cable TV available."
4776488,Are there any accessibility features for people with disabilities in this home share?,"Unfortunately, the property description does not mention any specific accessibility features for people with disabilities. It would be best to contact the host to inquire about any accommodations or accessibility options available."
4776488,Does the house have a hot tub?,"Yes, the house amenities include a hot tub."
4776488,Does the property have air conditioning?,"Yes, the property offers air conditioning.

Q: Is there a TV available at this property?
A: Yes, a TV is provided.

Q: Can I access the internet during my stay?
A: Yes, the property provides Wi-Fi.

Q: Are there any pets on the property?
A: Yes, there are cat(s) on the premises.

Q: Is smoking allowed at this accommodation?
A: Smoking is permitted at this property."
31258001,Are there any accessibility features for people with disabilities at this property?,"Unfortunately, the property details do not mention any specific accessibility features for people with disabilities. There is no information provided under 'Access' or 'Transit Options' that indicates accommodations for disabled guests. It is best to contact the host directly to inquire about any accessibility measures they may have in place."
31258001,Does the property have a washer and dryer?,"Yes, the property is equipped with a washer and dryer for guest use."
31258001,Does the property have a washer and dryer?,"Yes, the property is equipped with a washer and dryer for guest use."
31117363,Is the apartment wheelchair accessible?,"The description does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It only mentions that the apartment is located on the second floor and that there is an elevator in the building. However, it's best to contact the host directly to inquire about specific accessibility needs and accommodations."
31117363,Is there a doorman at the apartment building?,"Yes, the apartment building has a doorman."
31117363,Does the apartment have a kitchen?,"Yes, the apartment includes a kitchen as an amenity."
24528857,Is the penthouse wheelchair accessible?,"Unfortunately, the description does not mention any accessibility features, so it is unclear if the penthouse is wheelchair accessible. It does mention an elevator, but without specific details about the accessibility features, it's best to contact the host for more information."
24528857,Does the penthouse have a terrace?,"Yes, the penthouse has a private terrace."
865367,Does the apartment have wheelchair access?,"The apartment is located on the 5th floor and has an elevator, so it is wheelchair accessible."
865367,Is there a balcony?,"Yes, there is a glass-enclosed balcony."
865367,Does the apartment have air conditioning?,"Yes, the apartment has central A/C."
24218782,Are there any accessibility features for people with disabilities at this apartment?,"The description and amenities list do not mention any specific accessibility features for people with disabilities. It is best to contact the host directly to inquire about accessibility, as they can provide more detailed information about the property's suitability for guests with specific needs."
24218782,Does the apartment have a washer and dryer?,"Yes, the apartment is equipped with a washer and dryer for your convenience."
24218782,Does the apartment have a washer and dryer?,"Yes, the apartment includes a washer and dryer as listed in the amenities."
10985735,Does the property have wheelchair access?,"The property description does not mention any specific wheelchair access, and the presence of stairs to the second floor suggests that it may not be fully accessible for those with limited mobility. However, guests are allowed to use any part of the house, so it's best to contact the host directly to inquire about specific accessibility needs."
10985735,What type of view does the living room have?,The living room has a large sea view.
10985735,Does this property have a kitchen?,"Yes, a kitchen is available for guests to use."
24944774,Are there any accessibility features for guests with disabilities at this bungalow?,"Unfortunately, there is no specific information provided about accessibility features for guests with disabilities. The listing does not mention any accessibility details, so it's best to contact the host to inquire about specific accommodations or accessibility features you may require."
24944774,Is there a kitchen available for use in the bungalow?,"Yes, the bungalow includes a kitchen as one of its amenities."
14856799,Is the space wheelchair accessible?,"Yes, the space is wheelchair accessible."
14856799,Is there a private entrance to the property?,"Yes, there is a private entrance to the property."
14856799,Is there air conditioning?,"Yes
Q: Is there a kitchen?
A: Yes, a shared kitchen.
Q: Is there a hair dryer?
A: Yes."
18543540,Are there any accessibility features for people with disabilities at this property?,The property description does not mention any specific accessibility features for people with disabilities. It is best to contact the host directly to inquire about accessibility and any accommodations that can be made.
18543540,Does the property have a kitchen?,"Yes, the property includes a kitchen as an amenity."
32546486,Are there any accessibility features for people with disabilities in the condo?,"The description does not mention any specific accessibility features for people with disabilities, but it does state that guests have access to the whole apartment, which may include accessibility features. It's best to contact the host directly to inquire about specific accessibility accommodations."
32546486,Does the condo have a private entrance?,"Yes, the condo has a private entrance and allows for self check-in with a keypad."
6977204,Are there any accessibility features for people with disabilities in the apartment building?,"The description mentions a well-kept elevator building, which could be beneficial for those with limited mobility, but there is no specific mention of accessibility features for people with disabilities. It is best to contact the host to inquire about specific accessibility accommodations."
6977204,What is the laundry situation in the building?,The apartment is in a well-kept elevator building with laundry facilities in the basement.
6977204,Does the apartment have a washer and dryer?,"Yes, the apartment has a washer and dryer available for use in the basement."
28516771,Are there any accessibility features for people with disabilities at this glamping site?,"The listing mentions clear, marked pathways to amenities, but no specific accessibility features for people with disabilities are mentioned. It is best to contact the host to inquire about specific accessibility needs and if they can accommodate them."
28516771,Is there a washer and dryer available for guest use?,"Yes, a washer and dryer are available on the premises for guest use."
28516771,What amenities are available for cooking?,"The property provides a barbecue, dishes, pots, and cutlery for guests to use, as well as a shared social space with a table and chairs for outdoor dining."
25949697,Is the property wheelchair accessible?,"Unfortunately, the property listing does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. The description mentions elevators, but it's best to contact the host directly to inquire about accessibility options and any accommodations they can provide for guests with disabilities."
25949697,What type of parking is available at the property?,Free parking on premises is available.
25949697,Does the property have a washer and dryer?,"Yes, the property has a washer and dryer in the unit."
9195855,Does the property have wheelchair accessible amenities?,"Yes, the property has wheelchair accessible amenities, including an elevator and a wheelchair accessible entrance."
9195855,What amenities are available for guests with limited mobility?,"The property offers wheelchair accessibility, a wheelchair accessible entrance, and a first aid kit."
9195855,Is there a kitchen available for guests to use?,"Yes, a kitchen is listed as one of the amenities provided."
31582808,Is the apartment wheelchair accessible?,"The property description does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It would be best to contact the host directly to inquire about any accessibility accommodations they may offer."
31582808,Does the apartment have air conditioning?,"Yes, the apartment is equipped with air conditioning."
31582808,Does the apartment have a hair dryer?,"Yes, a hair dryer is provided."
6516405,Are there any accessibility features for people with disabilities in the apartment?,"The listing does not mention any specific accessibility features for people with disabilities, but it does have an elevator and a buzzer/wireless intercom system."
6516405,Does the apartment have a balcony?,"Yes, the apartment has a balcony with a view of the water and yachts."
6516405,Does the apartment have a kitchen?,"Yes, the apartment has a kitchen."
30522015,Is the apartment wheelchair accessible?,"The property details do not mention any accessibility features or accommodations for people with disabilities, including wheelchair accessibility."
30522015,Does the apartment have a kitchen?,"Yes, the apartment includes a kitchen as an amenity."
30522015,Does the apartment have a kitchen?,"Yes, the apartment includes a kitchen as one of its amenities."
13844617,Is the space wheelchair accessible?,"The description does not mention any accessibility features for people with disabilities, including wheelchair access. It is best to contact the host directly to inquire about specific accessibility accommodations."
13844617,Is there a kitchen in the rental?,"Yes, the rental has a kitchen."
13844617,Does the property have a hair dryer?,"Yes, a hair dryer is provided."
7340902,Is the apartment wheelchair accessible?,"The description does not mention any accessibility features for people with disabilities, such as wheelchair ramps or elevators. It is best to contact the host directly to inquire about specific accessibility accommodations."
7340902,What is the closest subway line to the apartment?,The apartment is a 1-minute walk from the N/Q train line.
31454375,Is the apartment wheelchair accessible?,"Yes, the apartment has a flat path to the front door, step-free access, a wide clearance to the bed and shower, and fixed grab bars in the shower."
31454375,What is the path to the front door like?,The path to the front door is flat.
31454375,Is there a hairdryer in the apartment?,"Yes, a hair dryer is provided."
11708,Is the apartment wheelchair accessible?,"Unfortunately, the apartment is located in the basement of the host's home, and the description does not mention any specific accommodations for wheelchair users. The entrance involves walking through an art gallery and then going down to the basement level, which may present challenges for those with limited mobility. There is no mention of an elevator or ramp access."
11708,Is there a hair dryer available for use?,"Yes, a hair dryer is provided for guests to use during their stay."
11708,Does the apartment have a hair dryer?,"Yes, a hair dryer is provided for guests."
22530493,Does the property have wide doorways and clear paths for wheelchair access?,"Yes, the property features a flat path to the front door, wide hallway clearance, and wide doorway access, making it suitable for wheelchair users."
22530493,Is there a place to park my car?,"Yes, off-street parking for two cars is available on the driveway."
14405901,Are there accessible parking options for people with disabilities?,"Yes, there is parking available in the building for a fee, but it is not specified if there are designated accessible parking spots. It is best to contact the host to confirm if accessible parking is available and to ensure a smooth arrival for guests with disabilities."
14405901,What amenities are available in the building?,"The building offers a gym, pool, hot tub, and a BBQ grill."
14405901,Does the property have a washer and dryer?,"Yes, the property provides a washer and dryer for guest use."
18848869,Is the apartment wheelchair accessible?,"The listing does not mention wheelchair accessibility, but it does state that the building has an elevator and the apartment is located on the 8th floor, suggesting that it may be accessible for those with limited mobility."
18848869,Is there a private entrance to the apartment?,"Yes, the apartment has a private entrance."
18848869,Does the apartment have air conditioning?,"Yes, the apartment is equipped with air conditioning."
6583887,Does the property have any accessibility features for people with disabilities?,"The property description does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility or adapted bathrooms. It is best to contact the host directly to inquire about specific accessibility needs and to ensure the property can accommodate them."
6583887,Does the house have a balcony?,"Yes, the house features balconies and a lot of outdoor space."
6583887,Does the house have a TV?,"Yes, the house has a TV with cable TV service."
31806673,Is the apartment wheelchair accessible?,"The apartment description does not mention wheelchair accessibility, and there is no specific information about accessibility for people with disabilities. It is best to contact the host to confirm if the building has wheelchair-accessible features, such as ramps or an accessible entrance, and if the apartment can accommodate any specific needs."
31806673,What floor is the apartment on?,The apartment is located on the 4th floor of the building.
31806673,Does the apartment have a washing machine?,"Yes, the apartment has a shared washing machine and dryer."
22308786,Is the penthouse wheelchair accessible?,"The listing does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It only states that guests have access to everywhere in the property. It would be best to contact the host directly to inquire about specific accessibility needs and to ensure the property can accommodate them."
22308786,Does the property have a balcony?,"Yes, the property features a spacious open terrace with calming ocean views."
13165887,Is the apartment wheelchair accessible?,"The description does not mention wheelchair accessibility, and the amenities do not include any accessibility features. It is best to contact the host to confirm if the apartment can accommodate guests with mobility disabilities."
13165887,Is there a washer and dryer in the apartment?,"Yes, the apartment is equipped with a washer and dryer for guest use."
13165887,Is there a TV in the apartment?,"Yes, the apartment has a TV.

Q: Does the apartment have air conditioning?
A: Yes, the apartment is equipped with air conditioning.

Q: Are there hangers available in the apartment?
A: Yes, hangers are provided for guests.

Q: What amenities are provided in the bathroom?
A: The bathroom amenities include shampoo and a hair dryer.

Q: Is there a washer and dryer in the apartment?
A: Yes, guests have access to a washer and dryer."
22130088,Are there any accessibility options for people with disabilities in the room?,"Unfortunately, the description does not mention any accessibility features for people with disabilities. It focuses on the room's comfort, location, and nearby amenities, but does not provide details about accessibility options. It would be best to contact the host directly to inquire about specific accessibility accommodations."
22130088,What is the nearest public transportation to the property?,The property is located near the subway and buses.
22130088,Does the room have a smoke detector?,"Yes, the room is equipped with a smoke detector for safety."
13389577,Does the property have wheelchair access?,"The property description does not mention any accessibility features for people with disabilities, including wheelchair access. It is best to contact the host directly to inquire about specific accessibility accommodations."
13389577,Does the property have a washer and dryer?,"Yes, the property amenities include a washer."
13389577,Does the property have a kitchen?,"Yes, a kitchen is available for guest use."
13043773,Is the room wheelchair accessible?,"The listing does not mention any accessibility features for people with disabilities, such as wheelchair accessibility. It is best to contact the host directly to inquire about specific accessibility accommodations."
13043773,Is there a washer and dryer in the apartment?,"Yes, the apartment has its own washer and dryer."
13043773,Does the property have a kitchen?,"Yes, the property has a kitchen available for use."
28884716,Are there accessible rooms available for guests with disabilities?,"Unfortunately, the property description does not specify any accessibility features or rooms designed for guests with disabilities. It would be best to contact the host directly to inquire about specific accessibility accommodations."
28884716,Does the property have a pool?,"Yes, the property offers a pool as one of its amenities."
2688143,Is the LauLi15 apartment wheelchair accessible?,The listing does not provide any information on wheelchair accessibility.
2688143,What type of parking is available at this property?,Paid parking is available off the premises.
2688143,Is there a kitchen in the apartment?,"Yes, a kitchen is listed as one of the amenities."
958849,Are there any accessibility features for people with disabilities at this property?,The property description does not mention any accessibility features for people with disabilities. It is best to contact the host directly to inquire about specific accessibility accommodations and to ensure the property meets your needs.
958849,Does the property have a pool?,"Yes, the property boasts a gigantic lap pool."
27672638,Does the property have wheelchair accessible entrances?,"Unfortunately, the property's access details are not provided, so it is unclear if there are wheelchair accessible entrances."
27672638,Does the property have a pool?,"Yes, the property has a pool available for guests to use."
27672638,Does the property have a TV?,"Yes, a TV is provided for guests to use.

Q: Is there air conditioning available?
A: Yes, the property offers air conditioning as an amenity.

Q: Can I expect to find a washer and dryer in the property?
A: Yes, there is a washer and dryer available for guest use.

Q: Is there a pool on-site?
A: Yes, guests can enjoy access to a pool.

Q: Does the property provide parking?
A: Yes, there is paid parking available on and off the premises."
15984115,Is the apartment wheelchair accessible?,"The listing does not mention any accessibility features for people with disabilities, such as wheelchair access."
15984115,Is there a crib available for infants?,"Yes, a crib and high chair are available for guests with infants."
15984115,Does the apartment have a hair dryer?,"Yes, a hair dryer is provided."
14967994,Is the property wheelchair accessible?,"The property listing does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It is recommended to contact the host directly to inquire about any specific accessibility needs you may have."
14967994,Is there a private entrance to the property?,"Yes, the property offers a private entrance for guests."
14967994,Does the property have a kitchen?,"Yes, the property includes a kitchen as one of its amenities."
16614389,Are there any accessibility features for people with disabilities in the apartment?,"The description does not mention any specific accessibility features for people with disabilities, but it does state that guests may use the kitchen, fridge, and bathroom in addition to their bedroom, suggesting a level of accessibility."
16614389,Is there a private bathroom in the apartment?,"No, the bathroom is shared and accessible to all guests."
16614389,Is there a TV in the bedroom?,"Yes, there is a TV in the bedroom."
16869922,Is the apartment wheelchair accessible?,"Unfortunately, the apartment is not wheelchair accessible as there are stairs leading up to the entrance and no ramp or elevator access is mentioned."
16869922,Is there a washer and dryer in the apartment?,"Yes, there is a washer and dryer in the apartment."
26259025,Is the apartment wheelchair accessible?,"The description does not mention any accessibility features for people with disabilities, such as wheelchair accessibility. The amenities listed do not include any accessibility features either, so it is likely that this apartment may not be suitable for guests with mobility issues or those requiring special accommodations."
26259025,Does the apartment have a pool?,"Yes, the hotel has a pool that guests can use for free."
26259025,Does the property have a pool?,"Yes, the property has a pool that guests can use for free."
10140368,Is the property wheelchair accessible?,"No, the property is located on the third floor of a walk-up building with no elevator access, and there is no mention of wheelchair accessibility in the description or amenities."
10140368,Is there a private entrance to the listing?,"Yes, the listing offers a private entrance for guests."
26263467,Is the apartment wheelchair accessible?,"Unfortunately, the listing does not mention wheelchair accessibility."
26263467,What type of parking is available?,Paid parking on premises.
29447285,Is the apartment wheelchair accessible?,"The apartment description does not explicitly mention wheelchair accessibility, but it does have a lift/elevator and a key code system for floor access, which could be beneficial for guests with limited mobility. However, it's best to contact the host directly to confirm specific accessibility features and requirements."
29447285,What kind of security does the apartment have?,"The apartment has 24-hour security guards at the entrance, a secure key code for floor access, and a key for the flat entrance."
13153996,Does the apartment have step-free access?,"Yes, the apartment has step-free access."
13153996,Is there a dishwasher in the apartment?,"Yes, the apartment has a dishwasher."
2905682,Is the property wheelchair accessible?,"The property listing does not specify any accessibility features for people with disabilities, including wheelchair accessibility. It is best to contact the host directly to inquire about specific accessibility accommodations."
2905682,Does the apartment have a washer and dryer?,"Yes, the apartment includes a washer and dryer for guest use."
2905682,Does the property have a kitchen?,"Yes, the property features a luxury kitchen."
27908073,Is the apartment wheelchair accessible?,"The listing does not provide any details about wheelchair accessibility, so it is best to contact the host directly to inquire about this."
27908073,Does the room have a window?,"Yes, the room has a window facing the apartment's walkway pathway."
654519,Is the apartment wheelchair accessible?,"The description does not specify if the apartment is wheelchair accessible. However, it does mention that the apartment is located on the second floor and has an elevator, which could be beneficial for those with limited mobility."
654519,Does the apartment have a washer and dryer?,"Yes, the apartment has a washer and dryer available for guest use."
654519,Does the apartment have a washer and dryer?,"Yes, the apartment has a washer and dryer available for guest use."
32160778,Are there any accessibility features for guests with disabilities in the apartment?,"Unfortunately, the listing does not mention any specific accessibility features for guests with disabilities. It would be best to contact the host directly to inquire about any accommodations or accessibility measures they may have in place for guests with special needs."
32160778,What type of access does the property have?,"The property has shared access to the kitchen, dining room, living room, and bathroom, with two double rooms sharing one bathroom."
16400283,Is the apartment wheelchair accessible?,"The apartment listing does not explicitly mention wheelchair accessibility, but it does include amenities like a lift/elevator, which could be beneficial for those with limited mobility. However, it's best to contact the host directly to inquire about specific accessibility features and accommodations for people with disabilities."
16400283,Does the apartment have a washer and dryer?,"Yes, the apartment is equipped with a washer and dryer for your convenience."
16400283,Does the apartment have a kitchen?,"Yes, the apartment has a kitchen with a cooktop and oven."
4178152,Is the newly renovated home wheelchair accessible?,"The description does not mention wheelchair accessibility, so it is unclear if the home is equipped with wheelchair-friendly features. It is recommended to contact the host directly to inquire about specific accessibility needs."
4178152,What amenities are available in the kitchen?,"The kitchen is equipped with a microwave, coffee maker, refrigerator, dishes and silverware, cooking basics, an oven, and a stove."
4178152,Does the property have a washer and dryer?,"Yes, the property has a washer and dryer available for guest use."
28835255,Are there any accessibility features for people with disabilities in the apartment?,"The description and amenities list do not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility or adapted bathrooms. However, the apartment is located on the ground floor and has a lockbox for self-check-in, which could be beneficial for guests with limited mobility. It's best to contact the host directly to inquire about specific accessibility needs and accommodations."
28835255,Does the apartment have a TV?,"Yes, the apartment is equipped with a wide-screen TV for your entertainment needs."
28835255,Does the apartment have a hair dryer?,"Yes, a hair dryer is provided as one of the amenities."
24521048,Is the apartment wheelchair accessible?,"Unfortunately, the listing does not mention wheelchair accessibility, so it is best to contact the host directly to inquire about this."
24521048,Does the apartment have a kitchen?,"Yes, the apartment has a fully equipped kitchen."
24521048,Does the apartment have a kitchen?,"Yes, the apartment has a fully equipped kitchen."
10082307,Does this room have wheelchair access?,"Yes, this room is wheelchair accessible."
10082307,Is there a working desk in the room?,"Yes, the room is equipped with a working table and chair."
10082307,Does the room have a TV?,"Yes, the room includes a TV.

Q: Is there a hair dryer in the room?
A: Yes, a hair dryer is provided as one of the amenities.

Q: What bathroom amenities are provided?
A: The room includes shampoo and a hair dryer.

Q: Does the room have internet access?
A: Yes, WiFi and internet access are available.

Q: Are there any accessibility features?
A: The room is wheelchair accessible and has an elevator."
19610618,Does the property have wheelchair access?,"The property description does not mention any specific accessibility features or accommodations for people with disabilities, including wheelchair access. It is best to contact the host directly to inquire about wheelchair accessibility and any other specific accessibility needs you may have."
19610618,Is there a washer and dryer in the unit?,"Yes, a washer and dryer are provided in the unit."
19610618,Is there a washer and dryer in the unit?,"Yes, a washer and dryer are provided."
21632846,Does the property have a roll-in shower?,"Yes, the property has a roll-in shower."
21632846,Is there a hot tub?,"Yes, there is a hot tub available for guests to use."
21632846,Is there a kitchen available for use?,"Yes, there is a kitchen available for use, but a ¥25 fee will be imposed if you don’t clean up after yourself."
4657865,Is the apartment wheelchair accessible?,The listing does not specify whether the apartment is wheelchair accessible.
4657865,Is there a washer and dryer in the apartment?,"Yes, the apartment has a washer and dryer for guest use."
4657865,Does the apartment have a TV?,"Yes, the apartment has a TV and cable TV."
19235160,Does the apartment have wheelchair access?,"The property description does not mention any specific accessibility features for people with disabilities, such as wheelchair access. It is best to contact the host directly to inquire about the suitability of the apartment for your needs."
19235160,Is there a kitchen available for guests to use?,"Yes, a kitchen is listed as one of the amenities."
19235160,Does the apartment have air conditioning?,"Yes, the apartment is equipped with air conditioning."
22180943,Is the apartment wheelchair accessible?,"The property description does not mention any accessibility features for people with disabilities, such as wheelchair accessibility or accommodations for the visually or hearing impaired. It would be best to contact the host directly to inquire about specific accessibility accommodations and to ensure the apartment meets your needs."
22180943,What amenities are available in the apartment?,"The apartment offers a fully equipped kitchen, air conditioning, Wi-Fi, a refrigerator, microwave, hot plate, and a washer."
22180943,Does the apartment have air conditioning?,"Yes, the apartment is equipped with air conditioning."
30293577,Is the apartment wheelchair accessible?,"No, the apartment listing does not mention wheelchair accessibility."
30293577,Does the apartment have a private entrance?,"Yes, the apartment has a private entrance."
30293577,Is there a hair dryer in the apartment?,"Yes, there is a hair dryer in the bathroom."
19559079,Does the apartment have wheelchair access?,"The property description does not mention any specific accessibility features for people with disabilities, such as wheelchair access. It would be best to contact the host directly to inquire about specific accessibility accommodations and to ensure the apartment meets your needs."
19559079,Does the apartment have a TV?,"Yes, the apartment is equipped with a TV for your entertainment needs."
22145277,Is the apartment wheelchair accessible?,"Unfortunately, the listing does not provide any information about wheelchair accessibility, and the description of the space does not indicate any specific accommodations for wheelchair users."
22145277,What is the bed type in the bedroom?,The bedroom features a truly comfortable inflatable double layers bed.
22145277,Does the apartment have a washer and dryer?,"Yes, the apartment includes a washer and dryer for guest use."
20864633,Is the apartment wheelchair accessible?,"The property details do not mention any accessibility features for people with disabilities, such as wheelchair accessibility. It is best to contact the host directly to inquire about specific accessibility accommodations."
20864633,Does the unit have a washer and dryer?,"Yes, the unit includes a washer and dryer."
20864633,Does the property have a washer and dryer?,"Yes, the property has a washer and dryer available for guest use."
13201601,Is the property wheelchair accessible?,"The listing does not specify if the property is wheelchair accessible, but it does mention that there are steps leading down to the ocean."
13201601,What kind of parking is available at the property?,The property offers free parking on the premises for one vehicle.
482765,Is the apartment wheelchair accessible?,"Unfortunately, the apartment is not wheelchair accessible as it is located on the upper two floors of the brownstone and requires climbing stairs to access."
482765,Is there a bathtub in the bathroom?,"Yes, the shared full bathroom has a shower and a tub."
482765,Does the property have a kitchen?,"Yes, the property has a shared kitchen where guests can cook meals and make coffee."
1910291,Is the apartment wheelchair accessible?,"The description does not specify any accessibility features for people with disabilities, including wheelchair accessibility. It is best to contact the host directly to inquire about specific accessibility accommodations."
1910291,Does the apartment have a washer and dryer?,"Yes, the apartment amenities include a washer."
1910291,Is there a kitchen available for use?,"Yes, the apartment includes a kitchen with a fridge, microwave, hob, sink, and washing machine."
16827551,Are there any accessibility features for people with disabilities at this property?,"The property description does not mention any specific accessibility features for people with disabilities. However, it does state that guests have full access to the whole home, which may include accommodations for those with disabilities. It is recommended to contact the host directly to inquire about specific accessibility needs and to ensure the property can accommodate them."
16827551,What kind of parking is available at this property?,There is free street parking available around the home.
20543265,Is the property wheelchair accessible?,"No, the property is located on the second floor and is only accessible via stairs."
20543265,What type of parking is available at the property?,"The property offers paid parking at the front desk, or free street parking is available."
20543265,Does the property have a pool?,"Yes, the property has a pool, and it is a tension edge, saltwater pool."
30641024,Is the apartment wheelchair accessible?,"The apartment listing does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It does mention the presence of an elevator, which could be helpful for those with limited mobility, but there is no explicit mention of wheelchair accessibility or other disability-related accommodations."
30641024,Does the apartment have a balcony?,"Yes, the apartment features a patio or balcony."
30641024,Is there a kitchen in the apartment?,"Yes, the apartment has a fully-equipped kitchen with a vitroceramic stove, refrigerator, oven, freezer, washing machine, dishwasher, and kitchen utensils."
26471879,Does the apartment have wheelchair access?,"The listing does not mention wheelchair access, so it is likely not accessible for those with mobility issues."
26471879,What kind of parking is available?,Free street parking is available.
26471879,Is there a kitchen?,"Yes, there is a kitchen with a small oven that can cook a meal for 2 to 4 people."
